NR;Name;Bibliothek;DBS-ID;1;2;3;4;5.1;5.2;5.3;5.4;6;7;8;9;10;11;12;13.1;15;16;17;18;19;20;21;30;34;38;39;40;41;42;46;50;54;58;62;63;64;65;66;70;74;78;79;80;81;82;90;98;102;110;111;113;113.1;113.4;113.5;114;118;121;122;123;130;131;132;133;134;135;138;141;142;143;144;146;147;148;149;150;151;151.1;152;152.1;153;154;157;159;162;163;164;165;166;167;170;172;174;175;176;176.1;177;178;178.1;178.2;178.3;178.4;179;180;181;183;184;184.1;184.2;185;186;189;190;191;192;195;196;197;198;201;202;203;204;207;208;210;211;212;213;214;215;216;217;218;219;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;B.1.2.4;B.1.3.1;B.1.3.2;B.1.4.1;B.2.2.1;B.2.2.4;B.2.2.5;B.3.3.3;B.3.4.1;B.3.4.2;B.4.2.2;B.4.3.1
1;Aachen FHB;FH Aachen. Bibliothek;BQ041;4;14,120;413;12,249;15,027;13,598;949;388;293;70;2;0;0;2,390;2,081;221;88;400;74;187,459;9,571;6,724;393,256;0;673;;;;;;0;0;0;;;;;;;0;;0;0;0;0;0;0;0;0;67,178;12,797;449,656;42,642;143,207;0;;110;223,873;464;55,696;26;25,037;13,356;4,770;44,117;0;9;9,569;9,149;0;0;2,906;9,569;12,055;890,113;887,029;493,773;0;0;0;3,084;241,436;0;1,125,377;2,256,926;2,353,965;0;122,993;2,476,958;208,594;126,611;4,240;;;481,167;;269;5,688;;0;0;2;318,154;2,822,905;3,209;44,458;841,176;827,660;;2,147;1,266;0;0;915;1,076;0;0;34;33;0;0;0;250;0;0;4,072;;0;0;6,016;20.16;11.39;6.77;2;0.00;1.37;40;73;0;0;0;0;0;0;0;0;0;0.00;0;179,403;3,873;9,347;183;51;191;152;0;7;0;3,526;2,220;0;119;0;43;23;0;1;0;1,875;1,360;0;49;0;1,637;1,428;0;64;0;682;424;0;16;0;204,512;74,456;8,386;1,705;34;55,369;21,208;1,833;861;5;27,901;1,482;413;25;4;5,880;4,732;0;164;0;41,290;29,450;1,588;720;22;8,674;7,821;88;356;1;30,209;4,424;393;87;2;781;585;0;15;0;7,530;7,210;93;105;1;14,109;10,076;1,262;168;3;52,377;15,099;419;411;2;41,306;16,442;711;390;4;56,183;23,151;3,486;462;26;43,062;29,180;3,511;515;21;1,365;643;0;14;0;6,543;3,454;1,139;60;9;100,915;57,739;8,465;1,346;69;0;0;0;0;0;0;0;0;0;0;176;176;0;7;0;1,018;602;0;32;0;224;133;0;6;0;98;98;0;4;0;0;0;0;0;0;0;0;0;0;0;111;111;0;4;0;38;38;0;1;0;0;0;0;0;0;43;143;28;1;33;0;391;0.790946501;184.25;4.69;27;5
2;Aachen UB RWTH;Universitätsbibliothek der RWTH Aachen;AJ082;2;45,260;3,147;28,709;;;;;348;108;73;;3;11,303;3,402;;6,151;643;28;1,181,148;14,094;1,328;647,976;2;1,455;3,308,545;10;0;29,832;;;;;;0;125;462;7,195;;;;95;0;0;0;;;;3;35,618;2,743;1,400,685;;;;0;666;902,397;650;211,430;47;24,196;14,050;4,189;1,757,092;110,208;26;12,760;2,222;N;N;547;14,204;2,769;3,872,895;3,848,505;3,267,986;;0;;7,826;165,179;0;5,770,372;9,808,446;9,384,926;3,103;123,554;9,511,583;404,645;257,324;13,929;;14,817;N;;456;3,469;;;;;N;N;62,819;2,332,470;5,574,529;;;16,476;21,589;0;0;11,699;19,456;0;0;52;512;0;0;1,341;6,555;0;0;N;;;;;111.78;54.17;42.33;15.28;0.00;7.36;24.5;167;105;0;7;80;18;N;802,969;4,189;N;N;N;274,819;2,796;15,128;164;39;20,551;6,421;1,121;90;8;45,181;2,138;0;167;0;7,309;3,346;0;103;0;7,525;2,453;729;268;10;27,728;4,244;3,876;342;9;8,819;3,167;828;150;11;166,747;29,721;10,067;1,270;32;96,602;1,248;3,961;20;16;114,808;144;50;46;1;97,268;1,455;677;378;4;118,347;4,577;17,302;428;17;177,867;2,659;16,425;431;4;397,043;510;2,523;93;3;86,138;4,572;288;406;1;168,621;9,656;529;803;4;218,936;4,914;83,845;1,874;195;218,936;4,914;1,354;114;5;262,092;15,035;11,198;833;40;182,543;6,731;368;647;2;94,372;7,795;31,415;374;29;0;0;0;0;0;40,080;637;215;29;3;19,389;5,545;3,878;300;35;793;398;0;7;0;0;0;0;0;0;56,723;1,315;2,735;58;19;32,545;5,628;448;174;4;32,537;14,301;641;788;11;851;0;0;0;0;8,282;5,033;423;191;7;0;0;0;0;0;3,711;2,450;0;106;0;15,032;7,709;2,184;256;24;26,866;6,100;1,103;423;7;71;70;13;2;#WERT!;0;72;0.671169034;341.65;#WERT!;11;1.3
3;Aalen FH;Hochschulbibliothek Aalen;DX455;1;5,898;250;3,947;8,603;6,699;423;1,142;279;67;0;0;2;697;628;69;0;123;10;51,583;2,439;6,119;92,622;0;0;N;N;N;N;0;0;N;N;N;170;166;4;N;N;0;77;0;0;0;0;0;0;0;0;77,353;12,187;415,157;77,279;261,489;0;N;74;153,668;413;35,383;6;33,289;29,244;4,876;6,625;298;N;2,439;12,187;0;0;N;2,439;12,187;514,702;514,702;422,080;0;0;0;N;71,254;N;230,623;816,579;794,786;0;21,793;816,579;85,915;60,465;1,592;N;N;49,284;;76;1,808;0;0;0;N;175,258;N;3,496;N;N;N;N;781;1,479;0;0;346;1,345;N;N;14;317;0;0;12;263;0;0;9,342;200;0;N;N;4.75;2.25;2;0.00;0.00;0.5;1;N;1;0;1;0;0;413;51,583;N;N;4.75;207,915;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;N;N;N;N;0;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;0;0;0;0;0;N;N;N;N;0;N;N;N;N;0;44;102;20;1;8;0;294;2.231789544;206.89;16.57;#WERT!;2.7
4;Amberg/Oberpf.  SB;Staatliche Bibliothek (Provinzialbibliothek) Amberg;AL054;1;;;1,264;1,264;;;;243;36;85;5;6;1,604;438;108;1,058;21;12;134,387;1,856;0;54,163;308;N;1,350;0;0;0;;;;;;N;;;;;;;617;0;0;0;165;450;0;N;546;4;60;;;;309;33;0;124;9,178;0;1;1;1;320;0;0;1,856;18;0;0;1;1,856;19;56,769;54,483;320;;0;;2,286;146,123;16,155;N;205,129;196,229;;8,900;205,129;11,332;3,150;217;;;21,402;;60;657;;;;;;;;;;;;1,503;4,582;0;0;1,067;4,410;0;0;28;142;0;0;0;0;0;0;1,726;;;;;4.5;3;1;0.00;0.00;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#WERT!;162.29;9.58;0;4.3
5;Amberg/Oberpf. FH;Ostbayerische Technische Hochschule Amberg-Weiden ;EX801;2;3,134;87;2,730;7,289;3,464;171;739;246;168;10;0;0;1,538;1,482;287;122;187;35;72,101;814;657;43,430;0;0;922;18;0;1,689;5;0;0;2;913;91;0;0;0;91;0;0;0;0;0;0;0;0;0;0;43,731;8,963;149,980;28,725;124,759;0;719;104;25,221;171;25,221;0;10,221;4,875;2,277;1,619;0;273;832;9,236;0;0;0;832;9,236;243,202;243,202;151,599;0;0;0;1,435;132,284;0;413,116;788,602;780,840;0;7,762;788,602;40,320;11,865;716;N;N;97,550;;213;1,690;0;0;0;0;101,669;N;649;17,226;514,765;494,695;0;837;3,488;0;0;813;3,270;0;0;25;303;0;0;0;0;0;0;N;N;N;N;N;6.91;4.65;2.26;0.00;0.00;0.63;0.00;46;0;0;0;0;0;0;0;0;0;0.00;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;97;460;58;2;30;0;525;0.588701479;288.87;8.08;49;1
6;Ansbach FHB;Hochschule Ansbach. Hochschulbibliothek;EZ020;2;2,984;106;2,918;;;;642;261;80;0;0;0;1,197;1,088;;0;222;13;68,975;2,501;950;100,800;;;0;0;0;0;;;;;;0;0;0;0;;;;0;0;0;0;;;;0;58,635;N;84,300;;;;;;;120;16,033;4;9,153;9,153;9,153;N;0;0;2,501;N;0;0;N;2,501;N;191,600;190,660;84,300;;0;;940;58,530;0;353,327;603,457;602,427;;3,200;603,457;45,218;22,165;993;N;N;118,686;;320;2,366;;;;;216,530;;N;N;216,733;;;905;1,996;;;882;1,900;;;15;133;;;;;;;N;;;;;7.6;4.5;3.1;0.00;0.00;0.2;1;26;2;0;1;0;1;120;68,975;9,153;185,070;7.6;353,327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;352;72;3;38;0;766;0.542273871;206.81;5.08;27;0.5
7;Ansbach SB;Staatliche Bibliothek, Schlossbibliothek Ansbach;AG127;1;N;;1,240;;;;;243;36;65;5;22;874;N;;N;31;5;137,658;1,889;51;;97;;;;;;509;150;;;;;;;;;;;350;;;;173;;;;1,384;105;1,273;;;;499;30;;199;9,253;0;;;;;;;1,889;97;0;0;8;1,889;105;50,362;47,351;1,273;;0;;2,146;68,109;7,084;;N;N;;1,699;N;12,847;4,249;202;7,136;N;14,897;;26;189;;;;;59,496;;;;;;;773;3,825;13;0;764;3,569;12;0;27;336;12;0;0;5;0;0;2,391;502;1,307;;;4;3;1;;;0.00;5;4;1;1;;;;199;137,658;;50,362;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#DIV/0!;#WERT!;#WERT!;8;#WERT!
8;Aschaffenburg HofB;Hofbibliothek Aschaffenburg  ;AK128;1;N;N;1,398;2,118;0;0;0;243;30;92;3;8;680;182;142;356;27;6;139,696;1,666;92;55,967;755;0;24,368;0;0;0;127;21;24,220;0;0;3,251;6;0;291;0;3,112;139;228;0;0;0;180;9;38;4;1,070;26;587;0;0;0;807;76;0;104;5,554;0;51;0;0;0;0;0;1,666;13;0;0;7;1,666;20;55,967;55,007;296;0;0;0;4,153;44,965;10,010;N;100,932;126,210;0;0;126,210;14,465;5,621;502;N;N;14,145;;80;603;N;0;0;0;N;N;N;N;N;N;N;1,823;3,740;0;0;1,240;3,138;0;0;21;245;0;0;1,240;3,138;0;0;1,589;N;286;N;N;3.5;2.5;1;0.00;0.00;0.00;0.00;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;72.2;7.14;32;0
9;Aschaffenburg TH;Technische Hochschule Aschaffenburg.Hochschulbibliothek;DZ488;1;3,214;97;4,676;N;N;N;N;272;53;0;2;0;793;555;105;133;110;13;49,889;1,213;500;83,570;0;0;352;23;4;796;3;0;0;0;349;1;0;12;0;1;0;0;0;0;0;0;0;0;0;0;34,330;8,219;188,177;28,391;94,356;0;354;10;98,821;127;29,674;14;26,925;26,583;2,683;13,512;0;2,217;1,236;10,436;0;0;0;1,236;10,436;315,729;315,729;201,689;0;0;0;0;0;0;397,057;712,786;712,786;0;1,857;714,643;48,045;22,368;3,260;N;N;112,737;;308;2,539;N;0;0;0;209,922;N;3,835;182,911;652,048;652,048;1,609;2,224;1,799;0;0;1,433;1,584;0;0;21;494;0;0;0;7;0;0;1,609;N;0;N;N;6.5;2.5;4;0.00;0.00;1;0.00;30;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;168;33;2;34;1;#WERT!;0.795172985;152.43;6.32;32;0.3
10;Augsburg FH;Hochschule Augsburg  Bibliothek;AT565;1;6,684;175;5,819;14,808;8,956;189;3,673;274;70;49;0;0;1,775;1,372;138;265;143;34;122,002;3,830;6,421;175,632;;;N;N;N;N;;;;;;N;N;N;N;;;;0;0;0;0;;;;0;166,187;12,133;291,804;60,524;159,319;0;N;18;132,485;244;40,821;2;16,987;10,908;3,000;21,107;N;29;3,646;12,162;0;0;N;3,646;12,162;490,192;489,364;312,911;0;0;0;828;84,061;0;403,693;977,946;977,946;0;9,960;987,906;84,717;47,173;1,785;N;N;144,422;;231;2,708;0;0;0;0;N;63,999;818;60,667;1,373,692;1,297,696;0;2,272;2,059;;;2,224;1,936;0;;135;164;;;0;0;;;N;;;;;8.59;4.09;4.5;0.00;0.00;1;0.5;47;0;0;0;0;0;0;0;0;0;0.00;0;6,377;814;2,704;27;15;314;165;50;6;1;2,209;1,415;0;56;0;0;0;0;0;0;1,602;1,162;155;49;2;20,199;16,251;670;617;6;2,567;392;361;15;4;46,175;26,260;12,387;644;61;17,261;11,227;568;274;3;662;239;423;5;3;2,820;2,773;0;95;0;16,687;10,351;2,507;237;21;1,357;1,357;0;39;0;2,408;852;410;39;1;317;317;0;2;0;0;0;0;0;0;141;127;0;5;0;597;463;0;7;0;14,417;7,920;4,500;165;5;9,407;6,963;1,213;152;8;16,125;11,618;1,420;181;15;0;0;0;0;0;848;127;84;3;2;16,918;10,773;3,721;274;39;544;101;168;3;4;19;19;0;1;0;62;0;0;0;0;2,142;881;724;37;7;212;173;0;9;0;808;157;652;7;6;0;0;0;0;0;0;0;0;0;0;1,044;1,044;0;49;0;362;118;82;5;2;360;205;0;6;0;98;200;21;1;21;0;395;1.214269259;168.06;6.77;39;1
