name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Staatliche Bibliothek (Provinzialbibliothek) Amberg;Malteserpl. 4;92224;Amberg/Oberpfalz;-9621;6028-0;http://www.provinzialbibliothek-amberg.de;;Mo, Di, Do, Fr 10-17 Uhr, Mi 10-18;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.855.879;49.442.448
Hochschul- und Landesbibliothek Fulda;Heinrich-von-Bibra-Platz 12;36037;Fulda;-661;(0661) 9640-9850;http://www.hs-fulda.de/hlb/;https://hds.hebis.de/hlbfu/index.php;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.675.061;5.055.323
Technische Universität München. Universitätsbibliothek;Arcisstraße 21;80333;München;89;289-28683;http://www.ub.tum.de;http://www.ub.tum.de/opac;http://www.ub.tum.de/oeffnungszeiten;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Stadtbibliothek Trier;Weberbach 25;54290;Trier;-651;7 18-1429;http://www.trier.de;;;300.001 bis 1.000.000;Kommune/Gemeinde;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.641.293;49.756.737
Universität Konstanz. Kommunikations-, Informations-, Medienzentrum (KIM);Universitätsstr. 10;78457;Konstanz;-7531;88-2800 und 2801;http://www.kim.uni-konstanz.de;http://www.kim.uni-konstanz.de/lokale-kataloge.html;Durchgehend 24 Std;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.175.957;47.662.757
Universitätsbibliothek Siegen;;57068;Siegen;-271;7 40-4229;http://www.ub.uni-siegen.de;http://obelix.ub.uni-siegen.de;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.024.625;50.874.559
Bibliothek der Alanus Hochschule für Kunst und Gesellschaft;Villestr 3;53347;Alfter;0 22 22 ;93 21-19 74;http://www.alanus.edu;;;10.001 bis 30.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.013.472;50.736.995
Universitätsbibliothek Hildesheim;Marienburger Platz 22 (ab 1.1.2015: Universitätsplatz 1);31141;Hildesheim;-5121;8 83-93000;https://www.uni-hildesheim.de/bibliothek/;https://hilkat.uni-hildesheim.de/vufind/;http://www.uni-hildesheim.de/bibliothek/benutzung-service-anmeldung/oeffnungszeiten/;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.948.634;52.155.018
Hochschule Augsburg  Bibliothek;An der Hochschule 1;86161;Augsburg;-821;55 86-3289;http://www.hs-augsburg.de/bibliothek;;Mo-Do: 9.00 - 21.30 Uhr, Fr: 9.00 - 19.30 Uhr, Sa: 8.00 - 18.00 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.892.578;48.369.696
Pädagogische Hochschule. Bibliothek;Kunzenweg 21;79117;Freiburg/Breisgau;-761;682-202;http://www.ph-freiburg.de/hochschule/zentrale-einrichtungen/bibliothek/startseite.html;https://rds.ibs-bw.de/phfreiburg/opac/;Mo - Fr 8-20 Uhr, Sa 10-15 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.849.877;47.994.786
Universität der Künste Berlin. Universitätsbibliothek;Fasanenstr. 88 (VOLKSWAGEN-Haus);10623;Berlin;-30;(030)314-76498;http://www.ub.udk-berlin.de;http://www.ub.udk-berlin.de;mo-fr 9.00 - 22.00, sa 10.00 - 18.00;300.001 bis 1.000.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Hochschule Biberach. Bibliothek;Karlstr. 11;88400;Biberach/Riß;7351;582-160;http://www.hochschule-bc.de/bibliothek;;Mo-Do 7:30-20:00 / Fr 7:30-16:30;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;979.203;48.097.465
Hochschule für Bildende Künste Braunschweig. Bibliothek;Johannes-Selenka-Pl. 1;38118;Braunschweig;-531;3 91- 9243 bis 9244. ;http://www.hbk-bs.de/einrichtungen/bibliothek/;http://opac.lbs-braunschweig.gbv.de/DB=3/LNG=DU/;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.520.525;5.226.249
Hochschule Weihenstephan-Triesdorf. Abt. Weihenstephan Zentralbibliothek;Am Hofgarten 2;85354;Freising;-8161;71-3377. 3376 und 5066;http://www.hswt.de/bibliothek;http://www.hswt.de/hochschule/zentrale-einrichtungen/bibliothek/recherche.html;mo -  do 9 - 18. fr 9 - 16. sa 10 - 14 ////Vorlesungsfreie Zeit: mo - fr 9 - 13;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.748.361;48.403.627
Hochschule Furtwangen University HFU;Robert-Gerwig-Platz 1;78120;Furtwangen;-7723;920-2208  920-2208;http://www.hs-furtwangen.de/bibliothek;http://bibliothek.hs-furtwangen.de;Montag-Freitag 9.00 - 22.00 Uhr . Samstag 9.00 - 15.00 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.205.476;48.051.584
Hochschule für Angewandte Wissenschaften Coburg. Bibliothek;Friedrich-Streib-Str. 2;96450;Coburg;9561;317-517;http://www.hs-coburg.de/library;http://coburg.bibkatalog.de;Montag - Freitag 8 - 17 Uhr Sonderöffnung im Semester 17 - 21.30 Uhr Samstag 10 - 18 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.964.232;50.258.421
Hochschule für Musik Detmold. Bibliothek;Hornsche Str. 39;32756;Detmold;-5231;975707;http://www.hfm-detmold.de;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.878.641;51.935.357
Berufsakademie Sachsen. Staatliche Studienakademie Bautzen. Bibliothek;Löbauer Str. 1;02625;Bautzen;-3591;353-124;http://www.ba-bautzen.de;http://webopac.ba-bautzen.de;Mo./Mi.: 07.45h - 17.00h, Di./Do.: 07.45h - 16:00h, Fr.: 07.45h - 14.00h;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;14.427.688;51.180.868
Bibliothek der Fachhochschule Südwestfalen;Haldener Str. 182;58095;Hagen;2331;9330-600;http://www.fh-swf.de/bib/;http://kai.fh-swf.de/;;100.001 bis 300.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.467.406;51.360.171
Bibliothek der Pädagogischen Hochschule Heidelberg;Keplerstr. 87;69120;Heidelberg;-6221;4 77-134 /-129;http://www.ph-heidelberg.de/org/phb/index.shtml;http://www.ph-heidelberg.de/org/phb/bestand/index.shtml;Mo-Do 8.30 - 18.30 Uhr, Fr 8.30 - 17.00 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.702.067;49.408.826
Bibliothek der HAWK-Hochschule für angewandte Wissenschaft und Kunst, Hildesheim/Holzminden/Göttingen ;Hohnsen 4;31134;Hildesheim;-5121;881563;https://www.hawk-hhg.de/bibliothek/default.php;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.948.634;52.155.018
Hochschule Mannheim Hochschulbibliothek;Paul-Wittsack-Straße 10;68163;Mannheim;621;292-6141;http://www.bib.hs-mannheim.de;http://www.bib.hs-mannheim.de;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.466.275;4.948.778
Staatliche Hochschule für Musik und Darstellende Kunst Mannheim. Bibliothek;N 7. 18;68161;Mannheim;-621;292-3506;http://www.muho-mannheim.de;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.466.275;4.948.778
Fachhochschule Mainz. Standort Holzstraße. Hochschulbibliothek;Holzstr. 36;55116;Mainz;-6131;28 59-121;https://www.hs-mainz.de/studium/services/fachbereichsuebergreifend/bibliothek/;https://opac.ub.uni-mainz.de/LNG=DU/DB=5/;Vorlesungszeit: Mo-Do 8.00-17.00. Fr 8.00-16.00 . Vorlesungsfreie Zeit: Mo-Fr 8.00-13.00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.271.855;50.001.959
Universitätsbibliothek Lüneburg;Scharnhorststr. 1;21335;Lüneburg;-4131;677-1100 und 1110;http://www.leuphana.de/ub;http://katalog.leuphana.gbv.de/DB=1/LNG=DU/;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.408.793;53.249.157
Musikhochschule Lübeck - Bibliothek;Große Petersgrube 21;23552;Lübeck;-451;15 05-130 und 205;http://www.mh-luebeck.de;;Semester : 9.30 - 15.30 (Mo. Di. Mi. Fr) . 9.30 - 17.30 (Do);100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.683.932;53.866.269
Pädagogische Hochschulbibliothek Ludwigsburg ;Reuteallee 46;71634;Ludwigsburg;-7141;140-665;http://phlb.de/bib;http://www.ph-ludwigsburg.de/14150.html;Mo-Do 8.00-19.00, Fr 8.00-17.00;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.194.347;48.889.441
Universitätsbibliothek Landau;Fortstraße 7;76829;Landau in der Pfalz;6341;280-31602;http://www.ub.uni-koblenz-landau.de/;http://aleph1.uni-koblenz.de/F;Mo-Fr 9.00-21.00;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.112.414;49.196.595
Hochschulbibliothek der Hochschule Niederrhein;Webschulstr. 41/43;41065;Mönchengladbach;-2161;186-3410 und 3411;http://www.hs-niederrhein.de/bib;http://www.hs-niederrhein.de/bib/webopac/;Mo-Fr.:8.00-22.00, Sa:9-17;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;643.161;51.194.473
Robert-Schumann-Hochschule. Bibliothek;Fischerstr. 110;40476;Düsseldorf;-211;4 91 8230;http://www.rsh-duesseldorf.de;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.780.068;5.122.422
WHU - Otto Beisheim School of Management   Bibliothek;Burgplatz 3, Gebäude F;56179;Vallendar;-261;6509 555;https://www.whu.edu/fakultaet-forschung/bibliothek/;http://heine.bib.whu.edu/webOPACClient/start.do;Service-Zeiten: Mo - Do: 08.00 - 17.00 Uhr. Fr: 08.00 - 16.00 Uhr;30.001 bis 100.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.622.831;50.398.186
Hochschule Koblenz RheinMoselCampus;Konrad-Zuse-Straße 1;56075;Koblenz;-261;95 28-271;http://www.hs-koblenz.de/Bibliothek.970.0.html;http://www.hs-koblenz.de/webOPAC; Mo-Mi 9 - 17 Uhr, Do 9-18 Uhr, Fr. 9-17 Uhr, Sa 10-14 Uhr  während des Semesters.Vorlesungsfreie Zeit : Mo - Do 9- 16 Uhr  Fr. 9-13 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.597.956;50.359.516
Staatliche Hochschule für Musik. Bibliothek;Wolfartsweierer Str. 7 (Schloß Gottesaue);76131;Karlsruhe;-721;6 62 92 12;http://www.hfm-karlsruhe.de;;Im Semester: Mo 12.00-16.00, Di 10.00-18.00, Mi-Do 10.00-16.00, Fr. 10.00-15.00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.405.282;49.009.626
Hochschulbibliothek der SRH Hochschule Berlin;Ernst-Reuter-Platz 10;10587;Berlin;-30;922 535 52;http://www.srh-hochschule-berlin.de;;Mo-Fr 9.00-15.00, nicht öffentlich zugänglich;2.001 bis 3.000;Private Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Staatliche Akademie der Bildenden Künste Karlsruhe. Bibliothek;Reinhold-Frank-Str. 67;76133;Karlsruhe;721;926 5228;http://www.kunstakademie-karlsruhe.de/?it=/bibliothek/;;Montag-Donnerstag 9.00-17.00 Uhr. Freitag 9.00-14.45 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.405.282;49.009.626
Bibliothek der Evangelischen Fachhochschule Berlin;Teltower Damm 118-122;14167;Berlin;30;84582510;;;;30.001 bis 100.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Hochschule Kaiserslautern. Hochschulbibliothek;Morlauterer Str. 31;67657;Kaiserslautern;-631;37 24-2130 und 2131;http://www.hs-kl.de/hs/bibliothek.html;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.768.864;49.445.456
Hochschule der Bildenden Künste Saar. Bibliothek;Keplerstr. 3-5;66117;Saarbrücken;-681;9 26 52-106;http://www.hbks.uni-sb.de;http://www.opac.saarland.de;Mo.-Mi.: 9.00 Uhr-12.00 Uhr. 13.00 Uhr-16.00 Uhr. Do.: 9.00 Uhr-15.00 Uhr. Fr.: 9.00 Uhr-12.00 Uhr;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.996.011;49.236.301
Technische Hochschule Ostwestfalen-Lippe S(kim)- Hochschulbibliothek;Campusallee 12;32657;Lemgo;5261;702 - 2201;http://www.th-owl.de/skim/;http://www.th-owl.de/webOPACClient/start.do?;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.900.886;52.027.912
Zentrale Hochschulbibliothek Lübeck;Ratzeburger Allee 160;23562;Lübeck;-451;5 00-3045;http://www.zhb.uni-luebeck.de;;Mo- Fr 9.00-22.30, Sa 9.30-18.00, So 10.00-18.00;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.683.932;53.866.269
Hochschule Worms. Hochschulbibliothek;Erenburger Str. 19;67549;Worms;-6241;509-440;http://www.hs-worms.de/bibliothek;http://www-opac.hs-worms.de;Mo - Do 9.00 - 19.00 Uhr. Fr 9.00 - 18.00 Uhr. Sa 9.00 - 13.00 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.361.704;49.629.828
Hochschule Trier, Bibliothek;Schneidershof;54293;Trier;-651;81 03-209;http://www.hochschule-trier.de/go/bibliothek;http://www.hochschule-trier.de/go/bibliothek-OnlineKatalog;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.641.293;49.756.737
Hochschule für Technik Stuttgart - Bibliothek;Schloßstr. 26;70174;Stuttgart;-711;8926-2927;http://www.hft-stuttgart.de/Einrichtungen/Bibliothek/index.html/de;;Mo-Di 8.30-20.00, Mi-Do 8.30-18.00, Fr 8.30-16.00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Hochschule für Musik. Bibliothek;Bibrastr.;97070;Würzburg;-931;3 21 87-3071;http://www.hfm-wuerzburg.de/hochschule/einrichtungen/bibliothek.html;;Mo.Di. 8.30-17.00, Mi.Do. 8.30-18, Fr 8.30-13;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;993.725;4.979.393
Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS). Bibliothek.;Münzstr. 12;97070;Würzburg;-931;3511-6242;http://www.bibliothek.fhws.de;http://www.bibkatalog.de;Mo,Di,Mi,Fr 7:45 - 19:00 Uhr, Do 7:45 - 20:00 Uhr, Sa 9:00 - 14:00 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;993.725;4.979.393
Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth. Hochschulbibliothek;Friedrich-Paffrath-Str. 101;26389;Wilhelmshaven;-4421;9 85-2430;http://www.jade-hs.de;http://lhemd.gbv.de/cgi-bin/wwwopc4menu;Mo.-Fr. 8.30h-20.00h;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.111.156;53.520.302
Pädagogische Hochschule Schwäbisch Gmünd  - University of Education - Bibliothek;Oberbettringer Str. 200;73525;Schwäbisch Gmünd;-7171;983 338;http://bibliothek.ph-gmuend.de/;http://bibliothek.ph-gmuend.de;Mo.-Fr., 09:00-19:00 Uhr (während der Vorlesungszeiten), Homepage beachten;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.796.508;48.802.384
Ostbayerische Technische Hochschule Regensburg / Hochschulbibliothek;Seybothstraße 2;93053;Regensburg;-941;943-1038;http://www.oth-regensburg.de/bibliothek/;https://www.regensburger-katalog.de/TouchPoint/start.do?View=ubrfhr&Language=de&Branch=2;Mo - Fr   7:00 - 22:00 Uhr, Sa  9:00 - 20:00 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.097.392;49.017.834
Technische Hochschulbibliothek Rosenheim;Hochschulstr.1;83024;Rosenheim;-8031;8 05-178. 170 und 175;http://www.th-rosenheim.de;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.128.932;47.856.358
Hochschule für Technik und Wirtschaft des Saarlandes / Bibliothek ;Goebenstr. 40;66117;Saarbrücken;-681;58 67-450;http://www.htwsaar.de/service/bibliothek/;http://opac.sulb.uni-saarland.de;Mo - Fr: 9:00 Uhr bis 18:00 UhrSa:9:30 Uhr bis 12:30 Uhr (während der Vorlesungszeit);100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.996.011;49.236.301
Hochschulbibliothek Reutlingen;Alteburgstrasse 150;72762;Reutlingen;7121;2711333;http://www.reutlingen-university.de/lernzentrum;https://bsz.ibs-bw.de/hsrt;Mo-Fr: 8.00-22.00 Uhr, Sa: 10.00-20.00 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.212.006;4.849.208
Hochschule für Angewandte Wissenschaften Hamburg (HAW), Hochschulinformations- und Bibliotheksservice (HIBS);Stiftstraße 69;20099;Hamburg;-40;428 75 - 3671;http://www.haw-hamburg.de/hibs;https://kataloge.uni-hamburg.de/LNG=DU/DB=2/;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;999.697;53.550.678
Hochschule für Musik Nürnberg-Augsburg. Abteilung Nürnberg. Hochschulbibliothek;Veilhofstr. 34. Haus 5;90489;Nürnberg;-911;2 31-39 73;http://www.hfm-n-a.de/;;MO-DO 09:30-12:30. 14:00-16:00. FR 09:30-11:00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.075.269;49.450.938
Duale Hochschule Baden-Württemberg Heilbronn, Bibliothek;Bildungscampus 1, Forum;74076;Heilbronn;7131;1237277;http://www.heilbronn.dhbw.de/studierende/campus/bibliothek.html;;Mo-Fr 8.00-20.00, Sa 8.00-18.00;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.217.953;49.140.428
HfWU Nürtingen-Geislingen - Hochschulbibliothek;Schelmenwasen 4-8;72622;Nürtingen;-7022;4 04-185;http://www.hfwu.de/bibliothek/index.shtml;;Montag - Donnerstag 9.00 - 20.00 Uhr , Freitag 9.00 - 18.00 Uhr , Samstag 10.00-15.00 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.343.281;48.625.847
Hochschule Offenburg / University of Applied Sciences. Bibliothek;Badstr. 24;77652;Offenburg;-781;205-240;http://www.hs-offenburg.de/bibliothek;https://bsz.ibs-bw.de/hsog;Mo - Do 8:00 bis 18:00 Uhr. Sa 9:00 bis 13:00 Uhr, verkürzte Öffnungszeiten in der vorlesungsfreien Zeit;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.944.214;48.469.474
ZB MED - Leibniz-Informationszentrum Lebenswissenschaften;Joseph-Stelzmannstr. 9;50931;Köln;-221;4 78-5600;http://www.zbmed.de;http://www.zbmed.de/kataloge/;;1.000.001 und mehr;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Fachhochschule Münster. Hochschulbibliothek;Corrensstr. 25;48149;Münster;-251;83-64855;https://www.fh-muenster.de/bibliothek/;https://www.digibib.net/template/search-mask?SID=MASTER:327c28e9dbfc1415f42214d286ed1392&LOCATION=836;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.626.804;51.961.908
Hochschule Landshut. Bibliothek;Am Lurzenhof 1;84036;Landshut;-871;50 61 60;http://www.haw-landshut.de/die-hochschule/zentrale-services/bibliothek/hochschulbibliothek-landshut.html;;365 Tage je 24 Stunden;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.215.892;48.538.623
Hochschule. Bibliothek;Prittwitzstr. 10;89075;Ulm/Donau;-731;50-28113;http://www.hs-ulm.de/Bibliothek;;Mo - Do 8 - 18 , Fr 8 - 14;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.990.402;48.398.454
Bibliothek der Phil.-Theol. Hochschule Sankt Georgen;Offenbacher Landstr. 224;60599;Frankfurt/Main;-69;60 61-257;http://www.sankt-georgen.de/bibliothek;https://lbsopac.rz.uni-frankfurt.de/IMPLAND=Y/SRT=YOP/LNG=DU/DB=60/;;300.001 bis 1.000.000;Kath. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.682.433;5.011.088
Universität der Bundeswehr München. Universitätsbibliothek;Werner-Heisenberg-Weg 39;85577;Neubiberg;-89;60 04-3311;http://www.unibw.de/unibib/;https://opac.unibw.de/ ;Mo.bis Fr. 8:00 - 20.00;1.000.001 und mehr;Staat (Bund od. Republik);Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.677.118;48.074.726
Evangelische Hochschule Nürnberg, Bibliothek;Bärenschanzstr. 4;90429;Nürnberg;-911;27253 - 750;http://www.evhn.de/bibliothek.html;https://opac.evhn.de/;Semester: Mo -  Fr  9:00 - 18:00 und Sa 12:00 - 14:00, Prüfungszeit: Mo - Fr 9:00 - 16:00,  Semesterferien: Mo - Fr 9:00 - 13:00;30.001 bis 100.000;Ev. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.075.269;49.450.938
Ev. Fachhochschule. Bibliothek;Zweifalltorweg 12;64293;Darmstadt;-6151;87 98-27;http://efh-darmstadt.de;;;30.001 bis 100.000;Ev. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;86.566;49.873.211
BEST Sabel Hochschulbibliothek;Rolandufer 13;10179;Berlin;-30;8471078914;http://www.best-sabel.de/Hochschule/Ausstattung.php;;Montag - Freitag:  9.00 - 18.00 Uhr;1.001 bis 2.000;Private Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Technische Hochschule Mittelhessen, Hochschulbibliothek;Wiesenstr. 14;35390;Giessen;-641;3 09-1230;http://www.thm.de/bibliothek;https://opac.uni-giessen.de/IMPLAND=Y/SRT=YOP/LNG=DU/DB=40/;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.674.877;50.586.195
Katholische Hochschule Nordrhein-Westfalen - Hochschulbibliothek;Wörthstr. 10;50668;Köln;-221;77 57-148/149;http://www.katho-nrw.de;http://alephino.katho-nrw.de:8060;;100.001 bis 300.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Fachhochschule Dortmund Hochschulbibliothek ;Emil-Figge-Str. 44;44227;Dortmund;231;9112-4046;http://www.fh-dortmund.de/bib;http://www.fh-dortmund.de/rio;http://www.fh-dortmund.de/bibstandorte;100.001 bis 300.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.464.165;51.514.171
Evangelische Hochschule Rheinland-Westfalen-Lippe. Bibliothek Protestant University of Applied Sciences. Library;Immanuel-Kant-Str. 18/20;44803;Bochum;-234;3 69 01-239 bis 242;;http://opac.evh-bochum.de;;30.001 bis 100.000;Ev. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.217.177;51.482.699
FH Aachen. Bibliothek;Eupener Str. 70;52066;Aachen;-241;6009-52053 bis 52070;http://www.fh-aachen.de/hochschule/bibliothek/;https://www.digibib.net/?LOCATION=A96;http://www.fh-aachen.de/hochschule/bibliothek/;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;60.848;50.773.516
Hochschule München Zentralbibliothek;Lothstr. 13 d;80335;München;-89;12 65-1325,   1207 und 1362;http://www.hm.edu/bib;;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Bibliothek der Luth. Theol. Hochschule;Altkönigstr. 150;61440;Oberursel/Taunus;-6171;92 63 67;http://www.lthh-oberursel.de;;;10.001 bis 30.000;Sonstige Religionsgemeinschaften;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.582.282;50.200.588
Berufsakademie Sachsen. Staatliche Studienakademie Breitenbrunn. Bibliothek;Schachtstr. 128;08359;Breitenbrunn/Erzgebirge;-37756;70 280;http://www.ba-breitenbrunn.de;http://webopac.ba-breitenbrunn.de;Mo und Do 9.00-12.30 und 13.00-17.00, Di-Mi 9.00-12.30 und 13.00-18.00, Fr 9.00-13.00;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.768.669;50.474.623
Hochschule für Fernsehen und Film. Bibliothek; Gabelsbergerstrasse 33;80333;München;-89;6 89 57-160;http://www.hff-muenchen.mhn.de/;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Bibliothek der Hochschule Darmstadt;Schöfferstr. 8;64295;Darmstadt;-6151;16 87 80 und 16 87 85;http://www.bib.h-da.de;;Mo-Do 7.30-17.00, Fr 7.30-14.30, Sa 9.30-13.30;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;86.566;49.873.211
Hochschule Düsseldorf / University of Applied Sciences. Hochschulbibliothek;Münsterstraße 156;40476;Düsseldorf;211;0211 4351-9200 (Zentrale), -9201 (Leitung);bib.hs-duesseldorf.de;http://katalog.bibl.fh-duesseldorf.de/;Mo-Fr 8.00-20.00, Sa 11.00-17.00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.780.068;5.122.422
Hochschulbibliothek Esslingen;Flandernstr. 101;73732;Esslingen/Neckar;-711;3 97-4100 und 4103;http://www.hs-esslingen.de/de/;http://www.hs-esslingen.de/webpac;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.309.565;48.741.347
