name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Hochschulbibliothek der Technischen Hochschule Nürnberg Georg Simon Ohm;Keßlerplatz 12;90489;Nürnberg;-911;58 80-4242;http://www.th-nuernberg.de/bibliothek;;Zentralbibliothek: Montag - Freitag: 9:00 - 21:00 Uhr. Samstag: 9:00 - 18:00 Uhr. Teilbibliothek : Montag - Freitag: 9:00 - 21:00 Uhr. Samstag: 9:00 - 18:00 Uhr. Präsenzbibliothek Informatik: Montag - Donnerstag 12.45 - 16.30 Uhr. Während der Semesterfer;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.075.269;49.450.938
Universitätsbibliothek Wuppertal;Gaußstr. 20;42119;Wuppertal;-202;4 39-2690;http://www.bib.uni-wuppertal.de;;Montag bis Donnerstag 8.00 bis 22.00. Freitag 8.00 bis 20.00. Samstag 10.00 bis 22.00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.195.874;51.271.288
Humboldt-Universität zu Berlin  Universitätsbibliothek;Geschwister-Scholl-Str. 1-3;10117;Berlin;-30;2093-99370;http://www.ub.hu-berlin.de;http://primus.ub.hu-berlin.de/;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Herzog August Bibliothek Wolfenbüttel;Lessingpl. 1;38304;Wolfenbüttel;-5331;8 08-0;http://www.hab.de;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.536.202;52.163.491
Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek;Waterloostr. 8;30169;Hannover;-511;12 67-0;http://www.gwlb.de;;Mo 9-19, Di-Fr 10-18;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.738.084;52.374.551
Universitätsbibliothek Braunschweig;Universitätsplatz 1;38106;Braunschweig;-531;3 91-5011;http://www.ub.tu-braunschweig.de;https://katalog.ub.tu-braunschweig.de/vufind/;Mo-Fr 7-0 Uhr. Sa 10-22 Uhr. So 10-17 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.520.525;5.226.249
Saarländische Universitäts- und Landesbibliothek;Universität des Saarlandes. Campus Geb. B1.1;66123;Saarbrücken;-681;302 - 2070;http://www.sulb.uni-saarland.de;http://opac.sulb.uni-saarland.de;Mo-Fr 8:00-21:00 -  Sa 10:00-15:00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.996.011;49.236.301
Universitätsbibliothek Bamberg;Feldkirchenstr. 21/Zufahrt: Am Heidelsteig;96052;Bamberg;-951;863-1501;http://www.uni-bamberg.de/ub/;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.886.786;49.893.387
Universitäts- und Landesbibliothek Sachsen-Anhalt;August-Bebel-Str. 13 und 50;06108;Halle/Saale;-345;5 52 20 61;http://bibliothek.uni-halle.de;;Hauptlesesaal Mo-Sa 8.00 - 23.00. So 14.00-23.00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.970.666;51.482.478
Universitätsbibliothek Leipzig;Beethovenstraße 6;04107;Leipzig;-341;97 30-837;http://www.ub.uni-leipzig.de;;Mo-Sa 8.00-24.00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.377.931;51.338.288
